curso,ano,prova,tipoquestao,idquestao,objeto,conteudo1,conteudo2,conteudo3,gabarito,acertoscurso,acertosregiao,acertosbrasil,acertosdif,urlprova,urlsintese,urlcurso,urlcrop,urlimage
CC,2017,Geral,Discursiva,D1,"Ética, democracia e cidadania; Responsabilidade social; sociodiversidade e multiculturalismo.",,,,-,"43,7","52,1","52,8","-9,1",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1njCTbndN_vk3R2qQEiARLn42hZvszu7-&export=download,https://drive.google.com/file/d/1njCTbndN_vk3R2qQEiARLn42hZvszu7-/view?usp=sharing
CC,2017,Geral,Discursiva,D2,"Ética, democracia e cidadania; sociodiversidade e multiculturalismo.",,,,-,"48,6","51,0","51,5","-2,9",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1weBA7jih0rwuoFXs0hpTIbPTvd6zK_YI&export=download,https://drive.google.com/file/d/1weBA7jih0rwuoFXs0hpTIbPTvd6zK_YI/view?usp=sharing
CC,2017,Geral,Objetiva,1,Globalização e política internacional.,,,,C,"34,6","38,6","34,0","0,6",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=184wJsVxgJyYm0G4FUDHRD6u7_FT02qJg&export=download,https://drive.google.com/file/d/184wJsVxgJyYm0G4FUDHRD6u7_FT02qJg/view?usp=sharing
CC,2017,Geral,Objetiva,2,"Vida urbana e vida rural; Relações de Trabalho; Ciência, tecnologia e sociedade.",,,,C,"76,9","58,4","51,6","25,3",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1s8YJxMRgY-2gWGQY2TqcHjuRf5hRPLa3&export=download,https://drive.google.com/file/d/1s8YJxMRgY-2gWGQY2TqcHjuRf5hRPLa3/view?usp=sharing
CC,2017,Geral,Objetiva,3,Meio ambiente; Responsabilidade social,,,,B,"61,5","44,1","42,4","19,1",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1fEY4Llabm05I8OioybHC8WInBtRmtuiI&export=download,https://drive.google.com/file/d/1fEY4Llabm05I8OioybHC8WInBtRmtuiI/view?usp=sharing
CC,2017,Geral,Objetiva,4,"Tecnologias de Informação e Comunicação; Ciência, tecnologia e sociedade.",,,,B,"76,9","76,4","72,8","4,1",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1gm2jbq0JZS8VGUlyMMWpMMUMIwDAjrDc&export=download,https://drive.google.com/file/d/1gm2jbq0JZS8VGUlyMMWpMMUMIwDAjrDc/view?usp=sharing
CC,2017,Geral,Objetiva,5,Inovação tecnológica; Meio ambiente,,,,C,"80,8","70,3","67,1","13,7",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1r12xYuJcV-2Q80ABzP-ztKfbsEKrjG5D&export=download,https://drive.google.com/file/d/1r12xYuJcV-2Q80ABzP-ztKfbsEKrjG5D/view?usp=sharing
CC,2017,Geral,Objetiva,6,Processos migratórios; Relações de Trabalho,,,,E,"92,3","89,7","87,6","4,7",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1c-kuP2WQBZPzT4vl99Attj_31xlyV5nd&export=download,https://drive.google.com/file/d/1c-kuP2WQBZPzT4vl99Attj_31xlyV5nd/view?usp=sharing
CC,2017,Geral,Objetiva,7,Cultura e arte.,,,,A,"46,2","40,6","37,9","8,3",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1P_mAI2t0vEIB6w481cWUbFqVnF_8TuTk&export=download,https://drive.google.com/file/d/1P_mAI2t0vEIB6w481cWUbFqVnF_8TuTk/view?usp=sharing
CC,2017,Geral,Objetiva,8,"Responsabilidade social; Ética, democracia e cidadania; sociodiversidade e multiculturalismo.",,,,D,"57,7","52,3","50,5","7,2",http://download.inep.gov.br/educacao_superior/enade/provas/2017/03_CIE_COM_BACHAREL_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Ciencia_da_Computacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40040058243169070000013881.pdf,https://drive.google.com/a/inf.ufsm.br/uc?id=1yYBnQWg5uo8-gQ_uRi6JWmoD6035-9NS&export=download,https://drive.google.com/file/d/1yYBnQWg5uo8-gQ_uRi6JWmoD6035-9NS/view?usp=sharing
