ano,idquestao,dificuldade
2017,1,
2017,2,
2017,3,dificil
2017,4,medio
2017,5,medio
2017,6,facil
2017,7,facil
2017,8,muito facil
2017,9,dificil
2017,10,medio
2017,11,
2017,12,
2017,13,
2017,14,dificil
2017,15,dificil
2017,16,medio
2017,17,medio
2017,18,medio
2017,19,dificil
2017,20,dificil
2017,21,facil
2017,22,facil
2017,23,dificil
2017,24,medio
2017,25,facil
2017,26,dificil
2017,27,medio
2017,28,dificil
2017,29,dificil
2017,30,dificil
2017,31,dificil
2017,32,dificil
2017,33,facil
2017,34,dificil
2017,35,dificil
2017,36,dificil
2017,37,dificil
2017,38,dificil
2017,39,dificil
2017,40,dificil
2014,1,
2014,2,
2014,3,medio
2014,4,medio
2014,5,facil
2014,6,facil
2014,7,dificil
2014,8,facil
2014,9,medio
2014,10,facil
2014,11,
2014,12,
2014,13,
2014,14,facil
2014,15,facil
2014,16,dificil
2014,17,dificil
2014,18,dificil
2014,19,dificil
2014,20,dificil
2014,21,dificil
2014,22,facil
2014,23,dificil
2014,24,muito dificil
2014,25,facil
2014,26,dificil
2014,27,dificil
2014,28,dificil
2014,29,facil
2014,30,medio
2014,31,dificil
2014,32,facil
2014,33,dificil
2014,34,medio
2014,35,dificil
2014,36,muito dificil
2014,37,medio
2014,38,dificil
2014,39,muito dificil
2014,40,dificil
2011,1,facil
2011,2,dificil
2011,3,facil
2011,4,medio
2011,5,facil
2011,6,facil
2011,7,dificil
2011,8,muito dificil
2011,9,
2011,10,
2011,11,
2011,12,
2011,13,
2011,14,dificil
2011,15,medio
2011,16,dificil
2011,17,medio
2011,18,
2011,19,dificil
2011,20,dificil
2011,21,dificil
2011,22,dificil
2011,23,medio
2011,24,medio
2011,25,dificil
2011,26,medio
2011,27,dificil
2011,28,dificil
2011,29,dificil
2011,30,dificil
2011,31,dificil
2011,32,dificil
2011,33,dificil
2011,34,muito dificil
2011,35,dificil
2011,36,dificil
2011,37,dificil
2011,38,muito dificil
2011,39,dificil
2011,40,muito dificil
2008,1,dificil
2008,2,facil
2008,3,dificil
2008,4,medio
2008,5,facil
2008,6,medio
2008,7,medio
2008,8,facil
2008,9,
2008,10,
2008,11,medio
2008,12,dificil
2008,13,medio
2008,14,muito dificil
2008,15,medio
2008,16,dificil
2008,17,dificil
2008,18,dificil
2008,19,medio
2008,20,
2008,21,dificil
2008,22,medio
2008,23,muito dificil
2008,24,muito dificil
2008,25,dificil
2008,26,dificil
2008,27,dificil
2008,28,dificil
2008,29,dificil
2008,30,muito dificil
2008,31,dificil
2008,32,dificil
2008,33,dificil
2008,34,dificil
2008,35,dificil
2008,36,dificil
2008,37,dificil
2008,38,dificil
2008,39,
2008,40,
2005,1,facil
2005,2,facil
2005,3,facil
2005,4,muito facil
2005,5,medio
2005,6,medio
2005,7,facil
2005,8,
2005,9,
2005,10,
2005,11,dificil
2005,12,dificil
2005,13,dificil
2005,14,dificil
2005,15,medio
2005,16,muito dificil
2005,17,medio
2005,18,muito dificil
2005,19,dificil
2005,20,dificil
2005,21,dificil
2005,22,dificil
2005,23,dificil
2005,24,dificil
2005,25,
2005,26,muito dificil
2005,27,muito dificil
2005,28,dificil
2005,29,dificil
2005,30,dificil
2005,31,dificil
2005,32,dificil
2005,33,dificil
2005,34,dificil
2005,35,dificil
2005,36,dificil
2005,37,medio
2005,38,dificil
2005,39,muito dificil
2005,40,
